good_bid,index_bid
10638384,234
11015768,235
19114851,236
9680159,237
34606027,238
19190684,239
19289558,240
18822624,241
797939,242
1970979,243
2117846,244
6815409,245
9753119,246
1979250,247
18001398,248
18936668,249
11465468,250
782513,251
28405528,252
826917,253
1206564,254
8467687,255
332470,256
10912256,257
357301,258
7106647,259
15983158,260
1496305,261
121193,262
17970911,263
9749037,264
40954,265
6361685,266
31154866,267
1183533,268
9064193,269
18473007,270
597552,271
877512,272
8233156,273
2868547,274
10631651,275
7037409,276
2083902,277
7038918,278
8680749,279
2639753,280
525426,281
718887,282
11148585,283
6097267,284
2229483,285
823591,286
1267712,287
8817417,288
8264086,289
30021555,290
10023325,291
9908523,292
6219987,293
3036770,294
1496343,295
14578344,296
22028621,297
22732401,298
6442544,299
8644202,300
8299742,301
13380427,302
345183,303
1891308,304
3186248,305
1344484,306
10064636,307
8436543,308
5890,309
1141627,310
21975804,311
7820512,312
1111372,313
7447369,314
1731862,315
1294050,316
6313436,317
9474412,318
8661830,319
12995043,320
9911556,321
928102,322
7527318,323
9759892,324
8188802,325
9278027,326
1206605,327
598346,328
6410366,329
23471929,330
822461,331
774557,332
19360423,333
672172,334
17166726,335
24874315,336
974096,337
5340,338
763531,339
10698926,340
12343256,341
10606762,342
713767,343
3170878,344
6475204,345
3718179,346
8915156,347
6559246,348
10067762,349
10168135,350
922737,351
1775352,352
8141852,353
1140671,354
8436436,355
1180333,356
3468438,357
12804713,358
1915212,359
8315224,360
1246647,361
6498703,362
19448568,363
19076036,364
7431989,365
8146339,366
20343812,367
11422095,368
18260,369
11276910,370
11044837,371
2641632,372
135268,373
2141488,374
3105357,375
7225956,376
19231024,377
8232482,378
983379,379
18662370,380
2301607,381
221005,382
2785278,383
19413957,384
2205908,385
10583683,386
3047139,387
18691494,388
14316354,389
1915215,390
11062850,391
999360,392
3466506,393
385759,394
19246067,395
19762641,396
6665438,397
2202805,398
31125261,399
978463,400
806079,401
6715486,402
7352562,403
93833,404
25777,405
19417150,406
922840,407
3220408,408
11411744,409
4519196,410
6829562,411
10356101,412
763472,413
16435879,414
2300590,415
1537339,416
1184699,417
1503869,418
20634975,419
22498689,420
7015892,421
27653822,422
220883,423
122648,424
6125034,425
8274853,426
19117299,427
23486599,428
23126869,429
11799312,430
12570421,431
6329642,432
19062576,433
2618116,434
29825696,435
10786191,436
20412955,437
13723449,438
1141685,439
1037106,440
19170708,441
398136,442
14902346,443
34093981,444
314752,445
18898696,446
4980805,447
20870768,448
13226207,449
2311940,450
26633643,451
18943255,452
981956,453
19238199,454
976805,455
4906071,456
1503704,457
6234638,458
1933709,459
557522,460
20738193,461
918692,462
23462131,463
8130030,464
18039076,465
2092241,466
11042077,467
922837,468
9030474,469
6096814,470
2778188,471
6361861,472
14759010,473
16005411,474
86659,475
1201548,476
7324956,477
9289628,478
9513597,479
1264155,480
29542727,481
754550,482
57402,483
30844244,484
10340378,485
80339,486
12457856,487
496243,488
3133201,489
752769,490
14450056,491
61522,492
3047235,493
880611,494
26772540,495
7764405,496
1084124,497
13448481,498
7518420,499
567726,500
453751,501
12926785,502
17228191,503
2420464,504
14330208,505
441880,506
10870555,507
7788784,508
21269086,509
844423,510
20507773,511
18669115,512
6219401,513
18962572,514
2466212,515
8298178,516
352547,517
36451880,518
11110724,519
2971181,520
8968664,521
705331,522
8348065,523
10400601,524
2035850,525
121264,526
2685745,527
19481953,528
12856510,529
22909106,530
22909113,531
124506,532
82356,533
606148,534
10882212,535
752728,536
3431571,537
1593295,538
652285,539
13597028,540
515503,541
2348618,542
912628,543
4614788,544
13586849,545
19751330,546
752934,547
18868738,548
7020,549
934588,550
8516481,551
331320,552
267511,553
9974919,554
14327854,555
27577542,556
21799400,557
12135329,558
